Đại sảnh băng	寒冰大廳
Ngai vàng băng giá	冰霜王座
Phòng của nhà vua	國王之室
Vũ Khí Chính	主武器
Vũ Khí Phụ	副武器
Nón / Mũ	頭盔
Mũ Bảo Hiểm	頭盔
Găng Tay	手套
Áo Giáp	鎧甲
Giáp Vai	肩甲
Áo Choàng	披風
Giày / Ủng	鞋／靴
Giày	鞋子
Khuyên Tai	耳環
Dây Chuyền	項鍊
Vòng Tay	手鐲
Thắt Lưng	腰帶
Dây thắt lưng	腰帶
Trâm cài / Huy hiệu	胸針／徽章
Trâm / Huy hiệu	胸針／徽章
Trâm Cài	胸針
Nhẫn	戒指
Hiệp Sĩ	騎士
Cung Thủ	弓箭手
Pháp Sư	法師
Cận chiến	近戰
Tầm xa	遠程
Sát thương Chí mạng	暴擊傷害
Tỷ lệ Chí mạng	暴擊率
Tỷ Lệ Chí Mạng	暴擊率
Tốc Độ Đánh	攻擊速度
Khuếch Đại Sát Thương	傷害增幅
Sát thương Boss	首領傷害
Sát thương Điện	雷電傷害
Sát thương Độc	毒屬性傷害
Sát thương Lửa	火焰傷害
Sát thương Băng	冰霜傷害
Kháng Lửa	火焰抗性
Kháng Băng	冰霜抗性
Kháng Điện	雷電抗性
Kháng Độc	毒抗性
Kháng Phép	魔法抗性
Tấn Công Cơ Bản	基本攻擊
Tấn công	攻擊
Phòng thủ	防禦
Sát thương	傷害
Chí mạng	暴擊
Sinh mệnh	生命
Hoang dã	荒野
Bí thuật	秘術
Đấu Tranh	鬥爭
Tái sinh	再生
Hấp thụ	吸收
Né tránh	閃避
Chính xác	命中
Hồi máu	生命回復
Tăng Vàng	金幣加成
Tăng EXP	經驗值加成
Lực chiến	戰力
Kỹ Năng Huấn Luyện	訓練技能
Kỹ Năng	技能
Cây Kỹ Năng	技能樹
Trang Bị Toàn Game	完整裝備資料庫
Trang Bị	裝備
Trang Sức	首飾
Phụ Kiện	飾品
Lò Rèn	鍛造爐
Kho Đồ	倉庫
Balo	背包
Khảm	已鑲嵌
Tổng Số Ngọc Sở Hữu	寶石持有總數
Dung Lượng Kho Đồ	倉庫容量
Cấp Ngọc Đủ Điều Kiện Ghép	可合成的寶石階級
Trạng Thái Lò Rèn & Kho	鍛造爐與倉庫狀態
Thiết Lập Tính Năng Tự Động	自動化設定
Giới Hạn Bậc Auto Ghép (Chỉ Dành Cho Ngọc)	自動合成階級限制（僅限寶石）
Tất cả ngọc (Tier 1-7)	所有寶石（1–7 階）
Ghép Ngọc Tự Động	自動合成寶石
Tự động cất ngọc lẻ vào Kho đồ	自動將零散寶石存入倉庫
Tự động ghép ngọc khi đủ 6 viên cùng bậc	同階寶石達 6 顆時自動合成
Ghép Trang Bị Tier 3 (Yêu cầu 6 món)	合成 3 階裝備（需要 6 件）
Ghép Trang Sức Tier 3 (Yêu cầu 3 món)	合成 3 階首飾（需要 3 件）
Tự động đưa 6 trang bị cùng Tier 3 trong Balo và Kho đồ (Kho 1, 2, 3) vào lò rèn để nâng lên Tier 4.	自動將背包與倉庫（1、2、3）中的 6 件 3 階裝備合成為 4 階。
Tự động đưa 3 trang sức cùng Tier 3 trong Balo và Kho đồ (Kho 1, 2, 3) vào lò rèn để nâng lên Tier 4.	自動將背包與倉庫（1、2、3）中的 3 件 3 階首飾合成為 4 階。
Chỉ ghép các món CÙNG CẤP ĐỘ (Level)	僅合成相同等級的物品
Ghép Ngay Đồ Tier 3	立即合成 3 階物品
Tự động lắp Vũ Khí Mạnh Nhất khi đổi Class	切換職業時自動裝備最強武器
Tự động đổi Kỹ Năng (Skill) chuẩn khi đổi Class	切換職業時自動套用標準技能配置
Lắp ngay vũ khí chính & phụ mạnh nhất phù hợp với Class hiện tại	立即裝備適合目前職業的最強主武器與副武器
Trang bị ngay bộ kỹ năng chuẩn cho Class hiện tại	立即套用目前職業的標準技能配置
Tối Ưu Vũ Khí Class	最佳化職業武器
Lắp Skill Chuẩn Class	套用職業技能
Cất Toàn Bộ Vào Kho	全部存入倉庫
Rút Toàn Bộ Về Balo	全部領回背包
Tiến Độ Ghép Ngọc Theo Cấp Độ (Quy tắc 6 viên bất kỳ cùng cấp)	各階寶石合成進度（任意 6 顆同階寶石）
Nhật Ký Hoạt Động Lò Rèn & Kho	鍛造爐與倉庫活動紀錄
Đang nạp danh sách ngọc từ Genesis.exe...	正在從 Genesis.exe 載入寶石清單…
Lò rèn sẽ tự động gom cả trang bị, trang sức và ngọc trong Balo lẫn Kho đồ (Kho 1, 2, 3).	鍛造爐會自動收集背包與倉庫（1、2、3）中的裝備、首飾及寶石。
Đưa 6 viên cùng cấp (không phân biệt loại ngọc) vào Lò rèn để lên cấp cao hơn.	將任意 6 顆同階寶石放入鍛造爐，即可合成高一階寶石。
Tự động nhận diện & ghép ngọc khi đủ	自動辨識並合成達到需求數量的寶石：
6 viên cùng cấp	6 顆同階寶石
không cần cùng loại	無須同類型
không bao giờ bị đầy Balo khi AFK	避免掛機時背包塞滿
Tự động nhận diện	自動偵測
Thao Tác	操作
Quy tắc Lò rèn	鍛造規則
Tất cả cấp bậc	所有階級
Tất cả Loại Ngọc	所有寶石類型
Tất cả Phẩm Cấp	所有品質
Chỉ ngọc có giá Steam	僅顯示有 Steam 價格的寶石
Tên Ngọc	寶石名稱
Phân Loại	分類
Phẩm Cấp	品質
Chỉ Số Kích Hoạt (Min ~ Max)	鑲嵌屬性（最小～最大）
Vị Trí Khảm / Mô Tả	鑲嵌部位／說明
Điểm Kỹ Năng Sẵn Có	可用技能點數
Điểm kỹ năng có sẵn	可用技能點數
Điểm Đã Cộng	已分配點數
Vàng Dự Trữ	金幣存量
Kim Cương (Dia)	鑽石
Kim Cương	鑽石
XEM TRƯỚC CHỈ SỐ	屬性預覽
Tiến độ cấp độ hiện tại	目前等級進度
EXP Hiện Tại	目前經驗值
Tổng EXP mỗi lần Clear	每次通關總經驗值
Tổng EXP Tích Lũy	累積總經驗值
Thời Gian Lên Cấp Dự Kiến	預估升級時間
Phần Thưởng Lên Cấp	升級獎勵
Tier Trang Bị Tối Đa	最高裝備階級
Trang Bị Chiến Đấu Đang Mặc	已裝備的戰鬥裝備
Trang Sức & Phụ Kiện	首飾與飾品
Kỹ Năng Huấn Luyện Đã Học (Training Skills)	已學習的訓練技能
Loại kỹ năng	技能類型
Thời gian hồi chiêu	冷卻時間
Yêu cầu mở khóa	解鎖需求
Tên Kỹ Năng	技能名稱
Bảng Xếp Hạng Hiệu Suất Cày Vàng & EXP AFK (Money/s & EXP/s)	金幣與經驗值掛機效率排行榜
Xếp hạng theo Lịch sử chạy (Đo đạc thực tế)	依通關紀錄排行（實際測量）
TỐI ƯU CÀY VÀNG NHẤT (CHO BẠN)	最適合你的金幣掛機關卡
TỐI ƯU CÀY EXP NHẤT (LÊN CẤP NHANH)	最佳經驗值掛機關卡（快速升級）
ẢI HIỆN TẠI CỦA BẠN	你目前的關卡
Phạm Vi Ải	關卡範圍
Chỉ hiện Ải đã mở khóa	僅顯示已解鎖關卡
Xếp hạng Lịch sử chạy (Đo thực tế)	依通關紀錄排行（實測）
Toàn bộ 400 ải trong Game	遊戲內全部 400 個關卡
Tất cả 400 Ải trong Game	遊戲內全部 400 個關卡
Sắp Xếp Theo	排序依據
Tìm Kiếm Ải	搜尋關卡
Bỏ lọc	清除篩選
Làm Mới Phân Tích	重新分析
Làm Mới	重新整理
Thời Gian Dọn Ải	通關時間
Thời Gian Dọn	通關時間
Thưởng Vàng (Ải + Boss)	金幣獎勵（關卡＋首領）
Thưởng Vàng	金幣獎勵
Thưởng EXP	經驗值獎勵
Ải Trong Game	遊戲關卡
Khu Vực	區域
Máu Quái (HP)	怪物生命值
Trạng Thái	狀態
Khuyên Dùng AFK	建議掛機
Khuyên Dùng	建議
TỐI ƯU NHẤT (NÊN AFK)	最佳選擇（建議掛機）
Ải Hiện Tại	目前關卡
Lịch Sử Chạy Ải (20 Ải Gần Nhất)	通關紀錄（最近 20 次）
Lịch Sử Chạy Ải	通關紀錄
Tự động ghi lại 20 lần chạy ải gần nhất từ game. Giữ nguyên định dạng cột của BXH, phân loại màu sắc:	自動記錄最近 20 次遊戲通關過程。沿用排行榜欄位，並依狀態標示顏色：
ĐANG ĐÁNH	戰鬥中
Đang chạy	執行中
Thành công	成功
Bỏ dở giữa chừng	中途離開
Xóa Lịch Sử So Sánh	清除比較紀錄
Xóa Lịch Sử	清除紀錄
Thống Kê DPS & Sát Thương Chi Tiết Từng Kỹ Năng Hero	角色各技能 DPS 與詳細傷害統計
Tự động phân tích và gợi ý tối ưu hóa dựa trên dữ liệu real-time từ game — cập nhật mỗi lần đồng bộ	根據遊戲即時資料自動分析並提供最佳化建議，每次同步時更新
TỔNG DPS THỰC TẾ	實際總 DPS
TỔNG DAME TRONG 1 PHÚT	每分鐘總傷害
DPS Thực Tế	實際 DPS
DPS Chiến Đấu	戰鬥 DPS
Tổng Dame / Phút	每分鐘總傷害
Chế độ: Quét Lính (AoE)	模式：清怪（範圍攻擊）
Chế độ: Đánh Boss (Single)	模式：首領戰（單體）
Kỹ Năng / Đòn Đánh (Ảnh Game)	技能／攻擊（遊戲圖示）
Sát Thương / Lần Ra Chiêu	每次施放傷害
Hồi Chiêu (CD)	冷卻時間
Tần Suất / Phút	每分鐘施放次數
DPS Đóng Góp	DPS 貢獻
Tỷ Lệ % Đóng Góp	貢獻比例 %
Đòn đánh thường	普通攻擊
Tốc Độ Đánh	攻擊速度
So Sánh DPS & Chỉ Số Giữa 3 Class (Dữ Liệu Đã Ghi Nhớ)	三職業 DPS 與屬性比較（已儲存資料）
Class chưa từng được ghi nhận thông tin sẽ để trống (không ghi gì cả).	尚無紀錄的職業會保持空白。
Dữ liệu DPS và chỉ số chiến đấu được tự động lưu lại mỗi khi bạn đăng nhập hoặc chuyển sang chơi class đó trong game.	每次登入或切換職業時，會自動儲存該職業的 DPS 與戰鬥屬性。
Tổng Dame	總傷害
Tỷ lệ %	比例 %
Tất cả Slot	所有部位
Tất cả Tier	所有階級
Tất cả Cấp YC	所有需求等級
Cấp YC	需求等級
Tên Trang Bị	裝備名稱
Chỉ Số	屬性
Giá Bán	售價
Giá Vàng	金幣價格
Giá Steam	Steam 價格
Định Vị & Nhập File Dữ Liệu Save Game	定位並匯入遊戲存檔
Tự động đọc thông tin nhân vật, cấp độ, trang bị và ải đang farm	自動讀取角色、等級、裝備與掛機關卡資料
Gợi Ý Đường Dẫn File Save Trên Máy Của Bạn	電腦上的建議存檔路徑
Thư mục dữ liệu Game (AppData Windows)	遊戲資料夾（Windows AppData）
Thư mục cài đặt Steam mặc định	Steam 預設安裝資料夾
File JSON đã xuất trước đó	先前匯出的 JSON 檔案
Bấm vào đây để chọn file Save hoặc Kéo thả file vào khung này	點此選擇存檔，或將檔案拖曳至此
Hỗ trợ file định dạng	支援檔案格式
hồ sơ nhân vật	角色資料
Game đang mở trên máy tính?	電腦上已開啟遊戲？
Tự động đọc dữ liệu qua cổng kết nối engine 127.0.0.1:10998	透過引擎連接埠 127.0.0.1:10998 自動讀取資料
Tìm tên ngọc (hoang dã, sinh mệnh, bí thuật, kháng phép...)	搜尋寶石名稱（荒野、生命、秘術、魔法抗性…）
Gõ tên kỹ năng để tìm vị trí trên Cây...	輸入技能名稱，尋找技能樹位置…
Gõ tên ải (2-2, 2-8, rất khó, địa ngục, rừng)...	搜尋關卡（2-2、2-8、非常困難、地獄、森林…）
Gõ tên kỹ năng huấn luyện...	搜尋訓練技能…
Tìm theo tên trang bị...	搜尋裝備名稱…
Khôi phục gốc từ Game	還原遊戲原始配置
Khôi phục hồ sơ mặc định	還原預設角色資料
Hồ sơ gốc	原始資料
Định Vị & Nhập Save Game	定位與匯入存檔
Xuất File JSON	匯出 JSON 檔案
Đồng Bộ Trực Tiếp (2s/lần)	即時同步（每 2 秒）
Đồng Bộ Trực Tiếp (Live)	即時同步
Đồng Bộ Trực Tiếp	即時同步
Tự Động Cập Nhật (BẬT)	自動更新（開啟）
Tự Động Cập Nhật (TẮT)	自動更新（關閉）
Đang kết nối Genesis.exe	正在連線至 Genesis.exe
Tính năng đang được phát triển	此功能仍在開發中
Đang phát triển	開發中
Phân Tích Thông Minh	智慧分析
Đang hoạt động	運作中
Quét live mỗi 2 giây	每 2 秒即時掃描
Đang tính toán	計算中
Sao chép	複製
Đã sao chép	已複製
Xóa log	清除紀錄
Tổng Số	總計
Tất cả	全部
Tối ưu AFK	最佳掛機效率
Tăng cấp nhanh	快速升級
Thu hoạch	收穫
Cao nhất	最高
Nhanh nhất	最快
Nhiều nhất	最多
cao → thấp	高 → 低
thấp → cao	低 → 高
Vàng / Giây	金幣／秒
Vàng / Phút	金幣／分
EXP / Giây	經驗值／秒
EXP / Giờ	經驗值／小時
Tên	名稱
Mô Tả	說明
Cấp độ	等級
Cấp	等級
Ải	關卡
Hạng	排名
Lượt	次數
Ngọc	寶石
Vàng	金幣
Kho	倉庫
Còn	剩餘
Trống	空位
ô	格
viên	顆
Giờ	小時
Phút	分鐘
Giây	秒
và	與
hoặc	或
Đã BẬT	已開啟
Đã TẮT	已關閉
BẬT	開啟
TẮT	關閉
Đòn chí mạng trúng đích	暴擊命中
Sát thương nhận vào	受到的傷害
Kháng sát thương chí mạng	暴擊傷害抗性
Kháng chí mạng	暴擊抗性
Ô Túi đồ	背包欄位
Hồi phục tự nhiên	自然回復
Tốc độ Di chuyển	移動速度
Sức tấn công PvE	PvE 攻擊力
Sức tấn công PvP	PvP 攻擊力
Kháng sát thương điện	雷電傷害抗性
Kháng sát thương lửa	火焰傷害抗性
Kháng sát thương độc	毒傷害抗性
Kháng Sét	雷電抗性
Bỏ qua đỡ đòn	無視格擋
Kháng Điện Giật	感電抗性
Kháng Thiêu Đốt	燃燒抗性
Kháng Trúng Độc	中毒抗性
Tăng Giới Hạn Lưu Trữ Vàng	提高金幣儲存上限
Choáng trúng đích	暈眩命中
Kháng Choáng	暈眩抗性
Sét trúng đích	雷電命中
Độc trúng đích	毒命中
Lửa trúng đích	火焰命中
trúng đích chí mạng	暴擊命中
trúng đích sét	雷電命中
trúng đích độc	毒命中
trúng đích lửa	火焰命中
Chính xác Điện Giật	感電命中
Chính xác Trúng Độc	中毒命中
Số Quái cần Diệt để Triệu hồi Boss	召喚首領所需擊殺怪物數
Cấp yêu cầu của trang bị	裝備需求等級
Tỷ lệ rơi trang bị	裝備掉落率
Lượng Vàng Nhận Được	獲得金幣量
Lượng EXP Nhận Được	獲得經驗值量
Kháng Sát thương Tất cả Nguyên Tố	全元素傷害抗性
Kháng Tất cả Nguyên Tố	全元素抗性
Tiền tệ phân rã trang bị	裝備分解貨幣
Tiền tệ phân rã phụ kiện	飾品分解貨幣
Tiền tệ phân rã cánh	翅膀分解貨幣
Tiền tệ phân rã rune	符文分解貨幣
Tiền tệ phân rã pet	寵物分解貨幣
Sách Phép Thượng Cấp	上級魔法書
Sách Phép Trung Cấp	中級魔法書
Sách Phép Cấp Cao	高級魔法書
Đại Sách Phép	大魔法書
Sách Phép Bị Phong Ấn	封印魔法書
Kẻ Gọi Bão	喚風者
Xạ Thủ Thiên Thạch	隕石射手
Cách Mạng Đỏ Thẫm	緋紅革命
Trượng Nữ Thần Mặt Trăng	月之女神法杖
Trượng Đại Hiền Giả	大賢者法杖
Trượng Bụi Sao	星塵法杖
Bao Tên Hoa Văn Cung Thủ	弓箭手紋章箭袋
Bao Tên Đội Trưởng Vệ Binh	衛隊長箭袋
Viên Đạn Cuối Cùng	最後的子彈
Băng Đạn Cuối	最後的彈匣
Hoa Hồng Ánh Trăng	月光玫瑰
Súng Ngắn Cải Tiến	改良手槍
Trượng Trang Trí Machina	機械裝飾法杖
Lưỡi Kiếm Xeno	異界之刃
Xạ Thủ Thánh	神聖射手
Sách Phép	魔法書
Bao Tiễn	箭袋
Bao Tên	箭袋
Mặt nạ	面具
Băng Đầu	頭帶
Băng Đạn	彈匣
Áo Choàng Ngoài	外披風
Lính Bóng Tối	暗影士兵
Người Canh Gác	看守者
Cung Bạc	銀弓
Cung Trắng	白弓
Nỏ Ba	三連弩
Thuốc Súng	火藥
Đạn Cỡ Lớn	大口徑子彈
Đạn Máu	血彈
Đạn Bạc	銀彈
Thợ Săn	獵人
Chiến Binh	戰士
Quý Tộc	貴族
Hoàng Tộc	皇族
Hoàng Gia	皇家
Hiền Triết	賢者
Khai Sáng	啟蒙
Khuếch Đại	增幅
Cổ Đại	古代
Tập Sự	見習
Luyện Tập	練習
Hoa Văn Đỏ	紅色紋章
Hoa Văn Vàng	金色紋章
Hoa Văn Cổ Đại	古代紋章
Đao Phủ	劊子手
Thiên Phạt	天罰
Ma Lực	魔力
Đính Ngọc	鑲嵌寶石
Lông Xanh	藍羽
Trí Tuệ	智慧
Linh Hồn	靈魂
Pha Lê	水晶
Hộ Vệ	守護
Rạng Đông	黎明
Kỹ Thuật	技術
Sát Thủ	刺客
Huyền Bí	神秘
Tử Thần	死神
Trang Trí Vàng	金飾
Vĩ Nhân	偉人
Sắc Màu	彩色
Băng Giá	冰霜
Bóng Tối	暗影
Chúc Phúc	祝福
Tuyệt Đối	絕對
Sôi Sục	沸騰
Cuồng phong	狂風
Phước lành	祝福
Tập trung	專注
Dũng Sĩ	勇者
Vững chắc	堅固
Chắc Chắn	堅固
Rực rỡ	光輝
Rực Sáng	耀光
Ánh sáng	光明
Tinh Nhuệ	精銳
Bão Tố	暴風
Trung Cấp	中階
Thượng Cấp	上階
Súng Ngắn	手槍
Cấm	禁忌
Thép	鋼鐵
Bạc	白銀
Đen	黑色
Cũ	舊式
Kiếm	劍
Trượng	法杖
Khiên	盾牌
Mũ	頭盔
Giáp	鎧甲
Ủng	靴子
Súng	槍
ranger	遊俠
Vermilion	朱紅
Astria	阿斯特莉亞
Kiru	基魯
không cộng dồn	不可疊加
Một lần mỗi trận	每場戰鬥一次
lần mỗi trận	次／每場戰鬥
Tối đa	最多
cộng dồn	疊加
phạm vi rộng	大範圍
kẻ địch xung quanh	周圍敵人
kẻ địch	敵人
của mục tiêu	目標的
của bản thân	自身的
của mọi kỹ năng	所有技能的
mọi kỹ năng	所有技能
thời gian hồi phục tự nhiên	自然回復間隔
thời gian hồi kỹ năng	技能冷卻時間
hồi chiêu kỹ năng	技能冷卻
thời gian hồi chiêu	冷卻時間
thời gian hồi	冷卻時間
hồi chiêu	冷卻
hiệu quả hồi phục nhận được	受到的治療效果
nhận đòn chí mạng	受到暴擊時
Khi HP giảm xuống dưới	當 HP 降至低於
Khi HP giảm dưới	當 HP 降至低於
Khi HP giảm xuống còn	當 HP 降至
Khi HP dưới	當 HP 低於
Khi bắt đầu trận đấu	戰鬥開始時
Sau khi bắt đầu trận đấu	戰鬥開始後
sau khi bắt đầu trận	戰鬥開始後
sát thương phải nhận	受到的傷害
công lực	攻擊力
tốc đánh	攻擊速度
tốc chạy	移動速度
tầm đánh	攻擊範圍
sát thương sét	雷電傷害
sát thương gây ra	造成的傷害
đòn tấn công tiếp theo	下一次攻擊
mọi đòn tấn công	所有攻擊
Khi dùng	使用時
Khi chết	死亡時
hồi sinh với	復活並恢復
khi xảy ra	觸發時
kích nổ mũi tên	引爆箭矢
mũi tên	箭矢
xác suất	機率
tỉ lệ	機率
gây choáng	造成暈眩
trở nên bất tử	獲得無敵
bỏ qua đỡ đòn	無視格擋
đỡ đòn	格擋
né đòn tấn công	閃避攻擊
mỗi lần	每次
cùng một mục tiêu	同一目標
cùng mục tiêu	同一目標
toàn bộ	全部
tiêu diệt	擊殺
trong phạm vi	範圍內
kích hoạt	觸發
áp dụng	施加
tạo khiên bằng	產生護盾，數值為
đặt lại	重置
tiêu hao	消耗
hồi phục	回復
sơ cứu	急救
mục tiêu	目標
trúng đích	命中
thấp hơn	更低
hiện tại	目前
bắt đầu	開始
tăng	增加
giảm	減少
gây	造成
nhận vào	受到
gây ra cho	對其造成
gây ra	造成
gây thêm	額外造成
đánh	攻擊
choáng	暈眩
chặn	格擋
kháng	抗性
vụ nổ	爆炸
sét	雷電
lửa	火焰
độc	毒
thiêu đốt	燃燒
điện giật	感電
trúng độc	中毒
hồi	回復
từ quái	來自怪物
lên Boss	對首領
từ boss	來自首領
bằng	等於
khi trúng	命中時
khi	當
sau khi	之後
mỗi	每
trong	持續
thêm	額外
lớp	層
có	有
cho	給予
của	的
vào	進入
lần	次
để	以便
bị	受到
trong phạm vi rộng	在大範圍內
xảy ra	觸發
kỹ năng đó	該技能
Anh hùng	英雄
Sử Thi	史詩
Huyền thoại	傳說
Thần thoại	神話
Nguyên thủy	原始
Nguyên Sơ	原初
Vĩnh cửu	永恆
Vĩnh Hằng	永恆
Nhanh nhẹn	敏捷
Chiến Trường	戰場
Nhánh	分支
Đơn mục tiêu	單體目標
Diện Rộng	範圍
Cường Hóa Công & Tốc	攻擊與速度強化
Chống Chịu	耐久
Đa Năng	多功能
Bổ Trợ	輔助
Độc chết người	致命之毒
